DEPARTAMENTO,PROVINCIA,AREA,POBLACION
Departamento Antártida Argentina,"Bandera de Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur Tierra del Fuego",965 597,1906​
Departamento Deseado,Bandera de la provincia de Santa Cruz Santa Cruz,63 784,107 630
Departamento Malargüe,Bandera de Provincia de Mendoza Mendoza,41 317,28 887
Departamento Lago Argentino,Bandera de la provincia de Santa Cruz Santa Cruz,37 292,18 864
Departamento Río Chico,Bandera de la provincia de Santa Cruz Santa Cruz,34 262,5158
Departamento Güer Aike,Bandera de la provincia de Santa Cruz Santa Cruz,33 841,113 267
Departamento San Rafael,Bandera de Provincia de Mendoza Mendoza,31 235,191 323
Departamento Lago Buenos Aires,Bandera de la provincia de Santa Cruz Santa Cruz,28 609,8750
Departamento Antofagasta de la Sierra,Bandera de Provincia de Catamarca Catamarca,28 097,1436
Departamento Veinticinco de Mayo,Bandera de la provincia de Río Negro Río Negro,27 106,15 743
Departamento Corpen Aike,Bandera de la provincia de Santa Cruz Santa Cruz,26 350,11 093
Departamento Rivadavia,Bandera de Provincia de Salta Salta,25 951,30 357
Departamento Los Andes,Bandera de Provincia de Salta Salta,25 636,6050
Departamento Nueve de Julio,Bandera de la provincia de Río Negro Río Negro,25 597,3475
Departamento General Güemes,Bandera de Provincia del Chaco Chaco,25 487,67 601
Departamento Patiño,Bandera de Provincia de Formosa Formosa,24 502,68 581
Departamento Tinogasta,Bandera de Provincia de Catamarca Catamarca,23 852,22 360
Departamento Calingasta,Bandera de Provincia de San Juan San Juan,22 589,8588
Departamento El Cuy,Bandera de la provincia de Río Negro Río Negro,22 475,5280
Departamento Río Senguer,Bandera de Provincia del Chubut Chubut,22 335,5979
Departamento Paso de Indios,Bandera de Provincia del Chubut Chubut,22 300,1867
Departamento Anta,Bandera de Provincia de Salta Salta,21 945,57 411
Departamento Vera,Bandera de Provincia de Santa Fe Santa Fe,21 096,51 125
Departamento Valcheta,Bandera de la provincia de Río Negro Río Negro,20 457,7101
Departamento Avellaneda,Bandera de la provincia de Río Negro Río Negro,20 379,35 323
Departamento Telsen,Bandera de Provincia del Chubut Chubut,19 893,1644
Departamento Magallanes,Bandera de la provincia de Santa Cruz Santa Cruz,19 805,29 202
Departamento Iglesia,Bandera de Provincia de San Juan San Juan,19 801,9099
Departamento Gobernador Dupuy,Bandera de Provincia de San Luis San Luis,19 632,11 532
Departamento Río Cuarto,Bandera de Provincia de Córdoba (Argentina) Córdoba,18 394,246 393
Departamento Almirante Brown,Bandera de Provincia del Chaco Chaco,17 276,33 856
Departamento Islas del Atlántico Sur,"Bandera de Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur Tierra del Fuego",16 955,177​8​
Departamento 9 de Julio,Bandera de Provincia de Santa Fe Santa Fe,16 870,29 810
Departamento Gastre,Bandera de Provincia del Chubut Chubut,16 335,1427
Departamento General José de San Martín,Bandera de Provincia de Salta Salta,16 257,156 910
Departamento Cushamen,Bandera de Provincia del Chubut Chubut,16 250,20 919
Departamento Moreno,Bandera de Provincia de Santiago del Estero Santiago del Estero,16 127,32 130
Departamento Florentino Ameghino,Bandera de Provincia del Chubut Chubut,16 088,1627
Departamento Mártires,Bandera de Provincia del Chubut Chubut,15 445,778
Departamento Languiñeo,Bandera de Provincia del Chubut Chubut,15 339,3085
Departamento General Pedernera,Bandera de Provincia de San Luis San Luis,15 057,125 470
Departamento San Cristóbal,Bandera de Provincia de Santa Fe Santa Fe,14 850,66 623
Departamento Tehuelches,Bandera de Provincia del Chubut Chubut,14 750,5390
Departamento Jáchal,Bandera de Provincia de San Juan San Juan,14 749,21 730
Departamento General Roca,Bandera de la provincia de Río Negro Río Negro,14 655,320 921
Departamento Sarmiento,Bandera de Provincia del Chubut Chubut,14 563,11 396
Departamento General Alvear,Bandera de Provincia de Mendoza Mendoza,14 448,46 156
Departamento Pichi Mahuida,Bandera de la provincia de Río Negro Río Negro,14 026,14 107
Departamento Escalante,Bandera de Provincia del Chubut Chubut,14 015,186 583
Departamento San Antonio,Bandera de la provincia de Río Negro Río Negro,14 015,29 284
Departamento San Justo,Bandera de Provincia de Córdoba (Argentina) Córdoba,13 677,206 307
Departamento Capital,Bandera de Provincia de La Rioja (Argentina) La Rioja,13 638,180 995
Partido de Patagones,Bandera de Provincia de Buenos Aires Buenos Aires,13 600,30 207
Departamento Alberdi,Bandera de Provincia de Santiago del Estero Santiago del Estero,13 507,17 252
Departamento Puelén,Bandera de la provincia de La Pampa La Pampa,13 160,9468
Departamento Curacó,Bandera de la provincia de La Pampa La Pampa,13 125,1040
Departamento Juan Martín de Pueyrredón,Bandera de Provincia de San Luis San Luis,13 120,204 512
Departamento Utracán,Bandera de la provincia de La Pampa La Pampa,12 967,14 839
Departamento Belén,Bandera de Provincia de Catamarca Catamarca,12 945,27 843
Departamento Biedma,Bandera de Provincia del Chubut Chubut,12 940,82 883
Departamento Bermejo,Bandera de Provincia de Formosa Formosa,12 850,14 046
Departamento General Roca,Bandera de Provincia de Córdoba (Argentina) Córdoba,12 659,35 645
Departamento Copo,Bandera de Provincia de Santiago del Estero Santiago del Estero,12 604,31 404
Departamento Lihuel Calel,Bandera de la provincia de La Pampa La Pampa,12 460,439
Departamento Río Grande,"Bandera de Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur Tierra del Fuego",12 181,70 042
Departamento Añelo,Bandera de Provincia del Neuquén Neuquén,12 036,10 786
Departamento Orán,Bandera de Provincia de Salta Salta,11 892,138 838
Departamento San Carlos,Bandera de Provincia de Mendoza Mendoza,11 578,32 683
Departamento General López,Bandera de Provincia de Santa Fe Santa Fe,11 558,195 043
Partido de Villarino,Bandera de Provincia de Buenos Aires Buenos Aires,11 400,31 014
Departamento Unión,Bandera de Provincia de Córdoba (Argentina) Córdoba,11 182,105 727
Departamento Gaiman,Bandera de Provincia del Chubut Chubut,11 076,11 141
Departamento General Obligado,Bandera de Provincia de Santa Fe Santa Fe,10 928,178 711
Departamento Pilcaniyeu,Bandera de la provincia de Río Negro Río Negro,10 545,7428
Departamento Vinchina*,Bandera de Provincia de La Rioja (Argentina) La Rioja,10 334,2731
Departamento Lavalle,Bandera de Provincia de Mendoza Mendoza,10 212,35 895
Departamento Tulumba,Bandera de Provincia de Córdoba (Argentina) Córdoba,10 164,12 673
Departamento Limay Mahuida,Bandera de la provincia de La Pampa La Pampa,9985,503
Departamento Conesa,Bandera de la provincia de Río Negro Río Negro,9765,7069
Departamento Ayacucho,Bandera de Provincia de San Luis San Luis,9681,18 927
Departamento Mercedes,Bandera de Provincia de Corrientes Corrientes,9588,47 426
Departamento Marcos Juárez,Bandera de Provincia de Córdoba (Argentina) Córdoba,9490,104 205
Departamento Futaleufú,Bandera de Provincia del Chubut Chubut,9435,43 076
Departamento Ushuaia,"Bandera de Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur Tierra del Fuego",9390,56 956
Departamento Loventué,Bandera de la provincia de La Pampa La Pampa,9235,8619
Departamento de Susques,Bandera de Provincia de Jujuy Jujuy,9199,3791
Departamento Coronel Felipe Varela,Bandera de Provincia de La Rioja (Argentina) La Rioja,9184,9648
Departamento Chical Co,Bandera de la provincia de La Pampa La Pampa,9117,1502
Departamento Juan Felipe Ibarra,Bandera de Provincia de Santiago del Estero Santiago del Estero,9139,18 051
Departamento Caleu Caleu,Bandera de la provincia de La Pampa La Pampa,9078,2313
Departamento Las Heras,Bandera de Provincia de Mendoza Mendoza,8955,203 507
Departamento Chalileo,Bandera de la provincia de La Pampa La Pampa,8917,2985
Departamento Curuzú Cuatiá,Bandera de Provincia de Corrientes Corrientes,8911,44 071
Departamento Juárez Celman,Bandera de Provincia de Córdoba (Argentina) Córdoba,8902,61 078
Departamento Adolfo Alsina,Bandera de la provincia de Río Negro Río Negro,8813,57 678
Departamento Ituzaingó,Bandera de Provincia de Corrientes Corrientes,8613,31 102
Departamento Santa Rosa,Bandera de Provincia de Mendoza Mendoza,8510,16 099
Departamento Pirané,Bandera de Provincia de Formosa Formosa,8425,64 566
Departamento Ñorquincó,Bandera de la provincia de Río Negro Río Negro,8413,1736
Departamento Pehuenches,Bandera de Provincia del Neuquén Neuquén,8363,24 087
Departamento Presidente Roque Sáenz Peña,Bandera de Provincia de Córdoba (Argentina) Córdoba,8228,36 282
Departamento La Paz,Bandera de Provincia de Catamarca Catamarca,8149,22 638
Departamento de Cochinoca,Bandera de Provincia de Jujuy Jujuy,7837,12 656
Departamento Libertador General San Martín,Bandera de Provincia del Chaco Chaco,7800,59 418
Partido de Olavarría,Bandera de Provincia de Buenos Aires Buenos Aires,7715,111 708
Departamento Caucete,Bandera de Provincia de San Juan San Juan,7502,38 343
Departamento Santo Tomé,Bandera de Provincia de Corrientes Corrientes,7359,61 643
Departamento Pellegrini,Bandera de Provincia de Santiago del Estero Santiago del Estero,7330,20 514
Partido de General Villegas,Bandera de Provincia de Buenos Aires Buenos Aires,7232,30 865
Departamento Confluencia,Bandera de Provincia del Neuquén Neuquén,7209,362 673
Departamento Gualeguay,Bandera de Provincia de Entre Ríos Entre Ríos,7178,51 883
Departamento Independencia,Bandera de Provincia de La Rioja (Argentina) La Rioja,7120,2427
Departamento La Paz,Bandera de Provincia de Mendoza Mendoza,7105,9867
Departamento Gualeguaychú,Bandera de Provincia de Entre Ríos Entre Ríos,7086,109 461
Departamento San Javier,Bandera de Provincia de Santa Fe Santa Fe,6929,30 668
Departamento Victoria,Bandera de Provincia de Entre Ríos Entre Ríos,6822,35 767
Departamento Río Seco,Bandera de Provincia de Córdoba (Argentina) Córdoba,6754,13 242
Departamento Villaguay,Bandera de Provincia de Entre Ríos Entre Ríos,6753,48 965
Departamento Río Primero,Bandera de Provincia de Córdoba (Argentina) Córdoba,6753,46 675
Partido de Ayacucho,Bandera de Provincia de Buenos Aires Buenos Aires,6749,20 337
Departamento Figueroa,Bandera de Provincia de Santiago del Estero Santiago del Estero,6695,17 820
Departamento Cruz del Eje,Bandera de Provincia de Córdoba (Argentina) Córdoba,6653,58 759
Departamento Belgrano,Bandera de Provincia de San Luis San Luis,6626,3945
Partido de Azul,Bandera de Provincia de Buenos Aires Buenos Aires,6615,65 280
Departamento Castellanos,Bandera de Provincia de Santa Fe Santa Fe,6600,181 381
Departamento La Paz,Bandera de Provincia de Entre Ríos Entre Ríos,6500,66 903
Departamento Choya,Bandera de Provincia de Santiago del Estero Santiago del Estero,6492,34 667
Departamento Las Colonias,Bandera de Provincia de Santa Fe Santa Fe,6439,106 761
Departamento Valle Fértil,Bandera de Provincia de San Juan San Juan,6419,7222
Departamento Rinconada,Bandera de Provincia de Jujuy Jujuy,6407,2488
Departamento San Martín,Bandera de Provincia de Corrientes Corrientes,6385,13 222
Partido de Puan,Bandera de Provincia de Buenos Aires Buenos Aires,6385,15 743
Departamento Famatina,Bandera de Provincia de La Rioja (Argentina) La Rioja,6371,5863
Departamento Ojo de Agua,Bandera de Provincia de Santiago del Estero Santiago del Estero,6269,14 008
Departamento Formosa,Bandera de Provincia de Formosa Formosa,6195,234 354
Departamento General Lamadrid*,Bandera de Provincia de La Rioja (Argentina) La Rioja,6179,1734
Departamento Rosario Vera Peñaloza,Bandera de Provincia de La Rioja (Argentina) La Rioja,6114,14 054
Departamento Minas,Bandera de Provincia del Neuquén Neuquén,6055,7234
Departamento Hucal,Bandera de la provincia de La Pampa La Pampa,6047,7540
Departamento General Taboada,Bandera de Provincia de Santiago del Estero Santiago del Estero,6040,38 105
Departamento Tapenagá,Bandera de Provincia del Chaco Chaco,6025,4102
Partido de Coronel Suárez,Bandera de Provincia de Buenos Aires Buenos Aires,5985,38 320
Departamento Picunches,Bandera de Provincia del Neuquén Neuquén,5980,7022
Partido de Adolfo Alsina,Bandera de Provincia de Buenos Aires Buenos Aires,5878,17 072
Partido de Tres Arroyos,Bandera de Provincia de Buenos Aires Buenos Aires,5861,57 110
Departamento Uruguay,Bandera de Provincia de Entre Ríos Entre Ríos,5855,100 728
Partido de Coronel Dorrego,Bandera de Provincia de Buenos Aires Buenos Aires,5818,15 825
Partido de Lincoln,Bandera de Provincia de Buenos Aires Buenos Aires,5782,41 808
Departamento Collón Curá,Bandera de Provincia del Neuquén Neuquén,5768,4532
Departamento Santa María,Bandera de Provincia de Catamarca Catamarca,5740,22 548
Departamento San Justo,Bandera de Provincia de Santa Fe Santa Fe,5575,40 735
Departamento Chamical,Bandera de Provincia de La Rioja (Argentina) La Rioja,5549,14 160
Departamento Ñorquín,Bandera de Provincia del Neuquén Neuquén,5560,4692
Departamento Loncopué,Bandera de Provincia del Neuquén Neuquén,5500,6925
Partido de Trenque Lauquen,Bandera de Provincia de Buenos Aires Buenos Aires,5500,43 021
Departamento Bariloche,Bandera de la provincia de Río Negro Río Negro,5415,133 500
Departamento Catán Lil,Bandera de Provincia del Neuquén Neuquén,5413,2155
Departamento Rosario de la Frontera,Bandera de Provincia de Salta Salta,5402,28 993
Departamento Zapala,Bandera de Provincia del Neuquén Neuquén,5386,36 549
Departamento Pilcomayo,Bandera de Provincia de Formosa Formosa,5342,85 024
Partido de Benito Juárez,Bandera de Provincia de Buenos Aires Buenos Aires,5285,20 239
Partido de Coronel Pringles,Bandera de Provincia de Buenos Aires Buenos Aires,5257,22 933
Departamento Metán,Bandera de Provincia de Salta Salta,5235,40 351
Departamento Tercero Arriba,Bandera de Provincia de Córdoba (Argentina) Córdoba,5187,109 554
Departamento San Carlos,Bandera de Provincia de Salta Salta,5125,7016
Departamento Ischilín,Bandera de Provincia de Córdoba (Argentina) Córdoba,5123,31 312
Departamento Rosario de Lerma,Bandera de Provincia de Salta Salta,5110,38 702
Departamento Toay,Bandera de la provincia de La Pampa La Pampa,5092,12 409
Departamento Federal,Bandera de Provincia de Entre Ríos Entre Ríos,5060,25 863
Departamento Conhelo,Bandera de la provincia de La Pampa La Pampa,5052,14 077
Departamento General San Martín*,Bandera de Provincia de La Rioja (Argentina) La Rioja,5034,4944
Partido de Bolívar,Bandera de Provincia de Buenos Aires Buenos Aires,5027,34 190
Departamento Concepción,Bandera de Provincia de Corrientes Corrientes,5008,20 845
Departamento General San Martín,Bandera de Provincia de Córdoba (Argentina) Córdoba,5006,127 454
Departamento Lácar,Bandera de Provincia del Neuquén Neuquén,4978,29 748
Departamento Paraná,Bandera de Provincia de Entre Ríos Entre Ríos,4974,339 930
Departamento Río Segundo,Bandera de Provincia de Córdoba (Argentina) Córdoba,4970,103 718
Partido de Tandil,Bandera de Provincia de Buenos Aires Buenos Aires,4935,123 871
Departamento Rancul,Bandera de la provincia de La Pampa La Pampa,4933,10 668
Departamento San Martín,Bandera de Provincia de Santa Fe Santa Fe,4860,63 640
Departamento Luján de Cuyo,Bandera de Provincia de Mendoza Mendoza,4847,124 418
Departamento Chilecito,Bandera de Provincia de La Rioja (Argentina) La Rioja,4846,49 432
Partido de Guaminí,Bandera de Provincia de Buenos Aires Buenos Aires,4840,11 826
Departamento Jiménez,Bandera de Provincia de Santiago del Estero Santiago del Estero,4832,14 352
Partido de General La Madrid,Bandera de Provincia de Buenos Aires Buenos Aires,4811,10 783
Partido de Veinticinco de Mayo,Bandera de Provincia de Buenos Aires Buenos Aires,4795,35 842
Partido de Necochea,Bandera de Provincia de Buenos Aires Buenos Aires,4 791 57,92 933
Partido de Lobería,Bandera de Provincia de Buenos Aires Buenos Aires,4755,17 523
Departamento Aluminé,Bandera de Provincia del Neuquén Neuquén,4738,8306
Departamento Paso de los Libres,Bandera de Provincia de Corrientes Corrientes,4700,47 782
Departamento Goya,Bandera de Provincia de Corrientes Corrientes,4678,87 872
Departamento Calamuchita,Bandera de Provincia de Córdoba (Argentina) Córdoba,4642,54 730
Departamento Picún Leufú,Bandera de Provincia del Neuquén Neuquén,4596,4578
Departamento Pomán,Bandera de Provincia de Catamarca Catamarca,4589,10 776
Departamento Chos Malal,Bandera de Provincia del Neuquén Neuquén,4582,15 256
Partido de Pehuajó,Bandera de Provincia de Buenos Aires Buenos Aires,4531,39 776
Departamento Veinticinco de Mayo,Bandera de Provincia de San Juan San Juan,4519,17 119
Departamento Islas del Ibicuy,Bandera de Provincia de Entre Ríos Entre Ríos,4500,12 077
Departamento Andalgalá,Bandera de Provincia de Catamarca Catamarca,4497,18 132
Departamento Coronel Pringles,Bandera de Provincia de San Luis San Luis,4484,13 082
Departamento Santa Bárbara,Bandera de Provincia de Jujuy Jujuy,4448,17 730
Departamento La Poma,Bandera de Provincia de Salta Salta,4447,1738
Departamento Matacos,Bandera de Provincia de Formosa Formosa,4431,14 375
Departamento Ullum,Bandera de Provincia de San Juan San Juan,4391,4886
Partido de Rauch,Bandera de Provincia de Buenos Aires Buenos Aires,4 316 45,15 176
Departamento Capayán,Bandera de Provincia de Catamarca Catamarca,4284,16 085
Partido de Nueve de Julio,Bandera de Provincia de Buenos Aires Buenos Aires,4284,47 722
Departamento San Jerónimo,Bandera de Provincia de Santa Fe Santa Fe,4282,80 155
Departamento Nogoyá,Bandera de Provincia de Entre Ríos Entre Ríos,4282,39 026
Departamento Los Lagos,Bandera de Provincia del Neuquén Neuquén,4203,11 998
Partido de Tornquist,Bandera de Provincia de Buenos Aires Buenos Aires,4184,12 723
Partido de Tapalqué,Bandera de Provincia de Buenos Aires Buenos Aires,4172,9178
Partido de Balcarce,Bandera de Provincia de Buenos Aires Buenos Aires,4115,43 823
Departamento Huiliches,Bandera de Provincia del Neuquén Neuquén,4038,14 725
Departamento Garay,Bandera de Provincia de Santa Fe Santa Fe,3964,20 889
Partido de Rivadavia,Bandera de Provincia de Buenos Aires Buenos Aires,3940,17 143
Partido de Carlos Tejedor,Bandera de Provincia de Buenos Aires Buenos Aires,3933,11 570
Departamento Rawson,Bandera de Provincia del Chubut Chubut,3922,131 313
Departamento Santa Victoria,Bandera de Provincia de Salta Salta,3912,10 344
Departamento Avellaneda,Bandera de Provincia de Santiago del Estero Santiago del Estero,3902,20 763
Partido de Adolfo Gonzales Chaves,Bandera de Provincia de Buenos Aires Buenos Aires,3859,12 047
Partido de Daireaux,Bandera de Provincia de Buenos Aires Buenos Aires,3820,16 889
Departamento Ramón Lista,Bandera de Provincia de Formosa Formosa,3800,13 754
Departamento de Humahuaca,Bandera de Provincia de Jujuy Jujuy,3792,17 366
Departamento Federación,Bandera de Provincia de Entre Ríos Entre Ríos,3760,68 736
Departamento Minas,Bandera de Provincia de Córdoba (Argentina) Córdoba,3730,4727
Departamento Esquina,Bandera de Provincia de Corrientes Corrientes,3723,30 747
Departamento Mayor Luis Jorge Fontana,Bandera de Provincia del Chaco Chaco,3708,56 066
Departamento Aguirre,Bandera de Provincia de Santiago del Estero Santiago del Estero,3692,7610
Departamento Mitre,Bandera de Provincia de Santiago del Estero Santiago del Estero,3667,1890
Departamento Burruyacú,Bandera de Tucumán Tucumán,3605,36 951
Departamento Molinos,Bandera de Provincia de Salta Salta,3600,5652
Departamento Banda,Bandera de Provincia de Santiago del Estero Santiago del Estero,3597,142 279
Departamento Atreucó,Bandera de la provincia de La Pampa La Pampa,3580,10 153
Departamento Salavina,Bandera de Provincia de Santiago del Estero Santiago del Estero,3562,11 217
Departamento Guatraché,Bandera de la provincia de La Pampa La Pampa,3525,8831
Departamento Iruya,Bandera de Provincia de Salta Salta,3515,5987
Departamento Quebrachos,Bandera de Provincia de Santiago del Estero Santiago del Estero,3507,10 568
Partido de Saavedra,Bandera de Provincia de Buenos Aires Buenos Aires,3500,20 749
Partido de Pila,Bandera de Provincia de Buenos Aires Buenos Aires,3493,3640
Departamento San Fernando,Bandera de Provincia del Chaco Chaco,3489,386 391
Departamento Laishí,Bandera de Provincia de Formosa Formosa,3480,17 063
Partido de Laprida,Bandera de Provincia de Buenos Aires Buenos Aires,3454,10 210
Departamento Caseros,Bandera de Provincia de Santa Fe Santa Fe,3449,79 491
Departamento de Tumbaya,Bandera de Provincia de Jujuy Jujuy,3442,4658
Partido de General Alvear,Bandera de Provincia de Buenos Aires Buenos Aires,3432,11 130
Departamento Santa María,Bandera de Provincia de Córdoba (Argentina) Córdoba,3427,98 188
Departamento San Pedro,Bandera de Provincia de Misiones Misiones,3407,31 051
Departamento Rivadavia,Bandera de Provincia de Santiago del Estero Santiago del Estero,3402,5015
Partido de Las Flores,Bandera de Provincia de Buenos Aires Buenos Aires,3340,23 871
Departamento Loreto,Bandera de Provincia de Santiago del Estero Santiago del Estero,3337,20 036
