DEPARTAMENTO,PROVINCIA,AREA,POBLACION
Departamento San Alberto,Bandera de Provincia de Córdoba (Argentina) Córdoba,3327,37 004
Departamento Tunuyán,Bandera de Provincia de Mendoza Mendoza,3317,49 132
Departamento Guaraní,Bandera de Provincia de Misiones Misiones,3314,67 897
Departamento Belgrano,Bandera de Provincia de Santiago del Estero Santiago del Estero,3314,9243
Departamento Sobremonte,Bandera de Provincia de Córdoba (Argentina) Córdoba,3307,4591
Departamento General Manuel Belgrano,Bandera de Provincia de Misiones Misiones,3275,42 902
Departamento Concordia,Bandera de Provincia de Entre Ríos Entre Ríos,3259,170 033
Departamento Ledesma,Bandera de Provincia de Jujuy Jujuy,3249,81 790
Departamento Constitución,Bandera de Provincia de Santa Fe Santa Fe,3225,85 483
Departamento Pocho,Bandera de Provincia de Córdoba (Argentina) Córdoba,3207,5380
Departamento Iriondo,Bandera de Provincia de Santa Fe Santa Fe,3184,66 702
Departamento Totoral,Bandera de Provincia de Córdoba (Argentina) Córdoba,3145,18 556
Departamento Feliciano,Bandera de Provincia de Entre Ríos Entre Ríos,3143,15 079
Partido de Chascomús,Bandera de Provincia de Buenos Aires Buenos Aires,3123,42 27713​
Partido de Mar Chiquita,Bandera de Provincia de Buenos Aires Buenos Aires,3117,21 279
Departamento General Ángel V. Peñaloza*,Bandera de Provincia de La Rioja (Argentina) La Rioja,3106,3073
Departamento La Capital,Bandera de Provincia de Santa Fe Santa Fe,3055,521 759
Departamento Pilagás,Bandera de Provincia de Formosa Formosa,3041,18 399
Departamento Libertador General San Martín,Bandera de Provincia de San Luis San Luis,3021,4668
Partido de San Cayetano,Bandera de Provincia de Buenos Aires Buenos Aires,3004,8399
Partido de General Madariaga,Bandera de Provincia de Buenos Aires Buenos Aires,2964,19 747
Departamento de Santa Catalina,Bandera de Provincia de Jujuy Jujuy,2960,2800
Partido de Pergamino,Bandera de Provincia de Buenos Aires Buenos Aires,2950,104 590
Departamento de Yavi,Bandera de Provincia de Jujuy Jujuy,2942,20 806
Departamento Cachi,Bandera de Provincia de Salta Salta,2925,7315
Departamento Colón,Bandera de Provincia de Entre Ríos Entre Ríos,2890,62 160
Departamento San Miguel,Bandera de Provincia de Corrientes Corrientes,2863,10 715
Departamento Trancas,Bandera de Tucumán Tucumán,2862,17 371
Departamento Maipú,Bandera de Provincia del Chaco Chaco,2855,25 262
Departamento Guachipas,Bandera de Provincia de Salta Salta,2785,3187
Departamento Sarmiento,Bandera de Provincia de San Juan San Juan,2782,22 131
Departamento Diamante,Bandera de Provincia de Entre Ríos Entre Ríos,2774,46 361
Departamento Iguazú,Bandera de Provincia de Misiones Misiones,2769,82 227
Departamento Tafí del Valle,Bandera de Tucumán Tucumán,2741,14 933
Partido de Saladillo,Bandera de Provincia de Buenos Aires Buenos Aires,2736,32 103
Departamento Tala,Bandera de Provincia de Entre Ríos Entre Ríos,2663,26 665
Departamento Chacabuco,Bandera de Provincia de San Luis San Luis,2651,20 644
Partido de General Lavalle,Bandera de Provincia de Buenos Aires Buenos Aires,2649,3700
Partido de Maipú,Bandera de Provincia de Buenos Aires Buenos Aires,2640,10 188
Departamento Punilla,Bandera de Provincia de Córdoba (Argentina) Córdoba,2592,178 401
Departamento Colón,Bandera de Provincia de Córdoba (Argentina) Córdoba,2588,225 151
Departamento Guasayán,Bandera de Provincia de Santiago del Estero Santiago del Estero,2588,7602
Departamento General Juan Facundo Quiroga*,Bandera de Provincia de La Rioja (Argentina) La Rioja,2585,4108
Departamento 12 de Octubre,Bandera de Provincia del Chaco Chaco,2576,22 225
Departamento Chapaleufú,Bandera de la provincia de La Pampa La Pampa,2570,11 620
Departamento Bermejo,Bandera de Provincia del Chaco Chaco,2562,24 329
Departamento Quemú Quemú,Bandera de la provincia de La Pampa La Pampa,2557,8663
Departamento General Belgrano,Bandera de Provincia de La Rioja (Argentina) La Rioja,2556,7370
Departamento Maracó,Bandera de la provincia de La Pampa La Pampa,2555,59 024
Departamento Catriló,Bandera de la provincia de La Pampa La Pampa,2555,7293
Departamento Capital,Bandera de la provincia de La Pampa La Pampa,2525,105 312
Partido de General Pinto,Bandera de Provincia de Buenos Aires Buenos Aires,2540,11 261
Partido de Carlos Casares,Bandera de Provincia de Buenos Aires Buenos Aires,2520,22 237
Departamento Tupungato,Bandera de Provincia de Mendoza Mendoza,2485,32 865
Departamento Junín,Bandera de Provincia de San Luis San Luis,2476,28 808
Departamento Realicó,Bandera de la provincia de La Pampa La Pampa,2450,16 227
Departamento Ancasti,Bandera de Provincia de Catamarca Catamarca,2412,2917
Departamento Belgrano,Bandera de Provincia de Santa Fe Santa Fe,2386,44 048
Departamento San Luis del Palmar,Bandera de Provincia de Corrientes Corrientes,2385,17 812
Departamento General Güemes,Bandera de Provincia de Salta Salta,2365,47 226
Departamento 25 de Mayo,Bandera de Provincia del Chaco Chaco,2358,29 315
Departamento Zonda,Bandera de Provincia de San Juan San Juan,2348,4863
Partido de General Guido,Bandera de Provincia de Buenos Aires Buenos Aires,2340,2816
Departamento El Alto,Bandera de Provincia de Catamarca Catamarca,2327,3570
Partido de Bahía Blanca,Bandera de Provincia de Buenos Aires Buenos Aires,2300,301 572
Departamento Monte Caseros,Bandera de Provincia de Corrientes Corrientes,2287,35 922
Departamento Presidencia de la Plaza,Bandera de Provincia del Chaco Chaco,2284,12 419
Partido de Chacabuco,Bandera de Provincia de Buenos Aires Buenos Aires,2278,48 703
Partido de Junín,Bandera de Provincia de Buenos Aires Buenos Aires,2263,90 305
Departamento Atamisqui,Bandera de Provincia de Santiago del Estero Santiago del Estero,2259,10 923
Departamento San Roque,Bandera de Provincia de Corrientes Corrientes,2243,18 223
Partido de Bragado,Bandera de Provincia de Buenos Aires Buenos Aires,2212,41 336
Departamento Fray Justo Santa María de Oro,Bandera de Provincia del Chaco Chaco,2205,11 799
Departamento La Viña,Bandera de Provincia de Salta Salta,2152,7435
Departamento San Pedro,Bandera de Provincia de Jujuy Jujuy,2150,75 037
Partido de General Viamonte,Bandera de Provincia de Buenos Aires Buenos Aires,2150,18 078
Departamento Rivadavia,Bandera de Provincia de Mendoza Mendoza,2141,56 269
Departamento San Lorenzo,Bandera de Provincia del Chaco Chaco,2135,14 722
Departamento General Ocampo*,Bandera de Provincia de La Rioja (Argentina) La Rioja,2135,7145
Departamento Río Hondo,Bandera de Provincia de Santiago del Estero Santiago del Estero,2124,54 867
Departamento Capital,Bandera de Provincia de Santiago del Estero Santiago del Estero,2116,267 125
Partido de Castelli,Bandera de Provincia de Buenos Aires Buenos Aires,2100,8205
Departamento San Martín,Bandera de Provincia de Santiago del Estero Santiago del Estero,2097,9831
Departamento 9 de Julio,Bandera de Provincia del Chaco Chaco,2097,30 153
Partido de Chivilcoy,Bandera de Provincia de Buenos Aires Buenos Aires,2075,64 185
Partido de Rojas,Bandera de Provincia de Buenos Aires Buenos Aires,2050,23 432
Departamento Leales,Bandera de Tucumán Tucumán,2027,54 949
Departamento Arauco,Bandera de Provincia de La Rioja (Argentina) La Rioja,1992,15 418
Departamento Ambato,Bandera de Provincia de Catamarca Catamarca,1979,4463
Partido de Dolores,Bandera de Provincia de Buenos Aires Buenos Aires,1980,27 042
Departamento Eldorado,Bandera de Provincia de Misiones Misiones,1960,78 221
Departamento General Paz,Bandera de Provincia de Corrientes Corrientes,1954,14 403
Departamento Trenel,Bandera de la provincia de La Pampa La Pampa,1955,5426
Departamento General Alvear,Bandera de Provincia de Corrientes Corrientes,1954,8001
Departamento Empedrado,Bandera de Provincia de Corrientes Corrientes,1937,15 011
Departamento Doctor Manuel Belgrano,Bandera de Provincia de Jujuy Jujuy,1917,265 409
Departamento Saladas,Bandera de Provincia de Corrientes Corrientes,1907,22 128
Departamento Rosario,Bandera de Provincia de Santa Fe Santa Fe,1890,1 198 528
Partido de Monte,Bandera de Provincia de Buenos Aires Buenos Aires,1890,21 034
Departamento Independencia,Bandera de Provincia del Chaco Chaco,1871,22 479
Partido de General Belgrano,Bandera de Provincia de Buenos Aires Buenos Aires,1870,17 365
Departamento San Lorenzo,Bandera de Provincia de Santa Fe Santa Fe,1867,159 184
Departamento Primero de Mayo,Bandera de Provincia del Chaco Chaco,1864,10 375
Departamento Angaco,Bandera de Provincia de San Juan San Juan,1865,8125
Departamento de Tilcara,Bandera de Provincia de Jujuy Jujuy,1845,12 359
Partido de Florentino Ameghino,Bandera de Provincia de Buenos Aires Buenos Aires,1825,8869
Partido de Pellegrini,Bandera de Provincia de Buenos Aires Buenos Aires,1820,5887
Partido de Magdalena,Bandera de Provincia de Buenos Aires Buenos Aires,1785,19 301
Departamento Sauce,Bandera de Provincia de Corrientes Corrientes,1760,9273
Partido de Lobos,Bandera de Provincia de Buenos Aires Buenos Aires,1725,36 172
Departamento Montecarlo,Bandera de Provincia de Misiones Misiones,1723,36 745
Departamento Capital,Bandera de Provincia de Salta Salta,1722,536 113
Departamento Sanagasta,Bandera de Provincia de La Rioja (Argentina) La Rioja,1711,2345
Departamento Bella Vista,Bandera de Provincia de Corrientes Corrientes,1695,37 212
Departamento Graneros,Bandera de Tucumán Tucumán,1678,13 551
Partido de Hipólito Yrigoyen,Bandera de Provincia de Buenos Aires Buenos Aires,1663,9585
Departamento San Javier,Bandera de Provincia de Córdoba (Argentina) Córdoba,1652,53 520
Departamento Sargento Cabral,Bandera de Provincia del Chaco Chaco,1651,15 727
Departamento 25 de Mayo,Bandera de Provincia de Misiones Misiones,1639,27 754
Partido de Navarro,Bandera de Provincia de Buenos Aires Buenos Aires,1630,17 054
Partido de Salto,Bandera de Provincia de Buenos Aires Buenos Aires,1630,32 653
Departamento Oberá,Bandera de Provincia de Misiones Misiones,1620,107 501
Partido de Punta Indio,Bandera de Provincia de Buenos Aires Buenos Aires,1610,9888
Departamento Cainguás,Bandera de Provincia de Misiones Misiones,1608,53 403
Departamento San Ignacio,Bandera de Provincia de Misiones Misiones,1607,57 728
Partido de Leandro N. Alem,Bandera de Provincia de Buenos Aires Buenos Aires,1603,16 799
Partido de Roque Pérez,Bandera de Provincia de Buenos Aires Buenos Aires,1600,12 513
Partido de General Alvarado,Bandera de Provincia de Buenos Aires Buenos Aires,1599,39 594
Departamento Dos de Abril,Bandera de Provincia del Chaco Chaco,1594,7455
Departamento San Blas de los Sauces*,Bandera de Provincia de La Rioja (Argentina) La Rioja,1590,3927
Departamento O'Higgins,Bandera de Provincia del Chaco Chaco,1580,20 078
Departamento Cafayate,Bandera de Provincia de Salta Salta,1570,14 850
Departamento Sarmiento,Bandera de Provincia de Santiago del Estero Santiago del Estero,1549,4607
Departamento Quitilipi,Bandera de Provincia del Chaco Chaco,1545,34 117
Departamento La Candelaria,Bandera de Provincia de Salta Salta,1525,5704
Departamento Libertador General San Martín,Bandera de Provincia de Misiones Misiones,1524,46 561
Partido de General Arenales,Bandera de Provincia de Buenos Aires Buenos Aires,1522,14 903
Partido de Baradero,Bandera de Provincia de Buenos Aires Buenos Aires,1514,42 921
Departamento San Martín,Bandera de Provincia de Mendoza Mendoza,1504,118 561
Departamento Comandante Fernández,Bandera de Provincia del Chaco Chaco,1500,97 311
Departamento General Donovan,Bandera de Provincia del Chaco Chaco,1487,13 665
Departamento Lavalle,Bandera de Provincia de Corrientes Corrientes,1480,28 601
Partido de General Pueyrredón,Bandera de Provincia de Buenos Aires Buenos Aires,1460,618 989
Departamento Santa Rosa,Bandera de Provincia de Catamarca Catamarca,1424,12 034
Departamento Robles,Bandera de Provincia de Santiago del Estero Santiago del Estero,1424,44 415
Departamento Castro Barros*,Bandera de Provincia de La Rioja (Argentina) La Rioja,1420,4268
Departamento Chacabuco,Bandera de Provincia del Chaco Chaco,1378,30 564
Partido de Tordillo,Bandera de Provincia de Buenos Aires Buenos Aires,1330,1764
Partido de San Pedro,Bandera de Provincia de Buenos Aires Buenos Aires,1322,59 036
Partido de Coronel Rosales,Bandera de Provincia de Buenos Aires Buenos Aires,1312,62 152
Departamento San Salvador,Bandera de Provincia de Entre Ríos Entre Ríos,1282,17 357
Partido de Tres Lomas,Bandera de Provincia de Buenos Aires Buenos Aires,1270,8700
Departamento Chicligasta,Bandera de Tucumán Tucumán,1267,80 735
Departamento Simoca,Bandera de Tucumán Tucumán,1261,30 876
Departamento Cruz Alta,Bandera de Tucumán Tucumán,1255,180 499
Departamento General Belgrano,Bandera de Provincia del Chaco Chaco,1218,12 090
Departamento Tafí Viejo,Bandera de Tucumán Tucumán,1210,121 638
Partido de Cañuelas,Bandera de Provincia de Buenos Aires Buenos Aires,1203,51 892
Partido de Zárate,Bandera de Provincia de Buenos Aires Buenos Aires,1202,114 269
Partido de General Paz,Bandera de Provincia de Buenos Aires Buenos Aires,1197,11 202
Departamento Leandro N. Alem,Bandera de Provincia de Misiones Misiones,1185,45 075
Partido de Arrecifes,Bandera de Provincia de Buenos Aires Buenos Aires,1180,29 044
Departamento Silípica,Bandera de Provincia de Santiago del Estero Santiago del Estero,1179,7712
Departamento Monteros,Bandera de Tucumán Tucumán,1169,63 641
Partido de San Andrés de Giles,Bandera de Provincia de Buenos Aires Buenos Aires,1132,23 027
Partido de Alberti,Bandera de Provincia de Buenos Aires Buenos Aires,1130,10 654
Partido de Brandsen,Bandera de Provincia de Buenos Aires Buenos Aires,1126,26 367
Partido de Lezama,Bandera de Provincia de Buenos Aires Buenos Aires,110214​,s/d15​
Departamento Libertad,Bandera de Provincia del Chaco Chaco,1088,11 947
Partido de Carmen de Areco,Bandera de Provincia de Buenos Aires Buenos Aires,1080,14 692
Departamento Apóstoles,Bandera de Provincia de Misiones Misiones,1068,42 249
Partido de Mercedes,Bandera de Provincia de Buenos Aires Buenos Aires,1050,63 284
Partido de Ramallo,Bandera de Provincia de Buenos Aires Buenos Aires,1040,33 042
Partido de Colón,Bandera de Provincia de Buenos Aires Buenos Aires,1022,24 890
Departamento Paclín,Bandera de Provincia de Catamarca Catamarca,985,4185
Departamento Capital,Bandera de Provincia de Misiones Misiones,965,324 756
Departamento de Valle Grande,Bandera de Provincia de Jujuy Jujuy,962,2451
Departamento Mburucuyá,Bandera de Provincia de Corrientes Corrientes,957,9283
Partido de Campana,Bandera de Provincia de Buenos Aires Buenos Aires,955,94 461
Departamento Albardón,Bandera de Provincia de San Juan San Juan,945,23 888
Partido de Suipacha,Bandera de Provincia de Buenos Aires Buenos Aires,943,10 081
Partido de La Plata,Bandera de Provincia de Buenos Aires Buenos Aires,926,654 324
Partido de San Fernando,Bandera de Provincia de Buenos Aires Buenos Aires,924,163 240
Departamento La Cocha,Bandera de Tucumán Tucumán,917,19 002
Departamento El Carmen,Bandera de Provincia de Jujuy Jujuy,912,97 039
Departamento Chicoana,Bandera de Provincia de Salta Salta,910,20 710
Departamento Candelaria,Bandera de Provincia de Misiones Misiones,875,27 040
Departamento Itatí,Bandera de Provincia de Corrientes Corrientes,870,9141
Departamento La Caldera,Bandera de Provincia de Salta Salta,867,7763
Partido de San Antonio de Areco,Bandera de Provincia de Buenos Aires Buenos Aires,857,23 138
Departamento Berón de Astrada,Bandera de Provincia de Corrientes Corrientes,810,2434
Partido de Luján,Bandera de Provincia de Buenos Aires Buenos Aires,800,106 273
Partido de Salliqueló,Bandera de Provincia de Buenos Aires Buenos Aires,797,8644
Partido de General Las Heras,Bandera de Provincia de Buenos Aires Buenos Aires,760,14 889
Departamento Juan Bautista Alberdi,Bandera de Tucumán Tucumán,730,30 237
Departamento Concepción,Bandera de Provincia de Misiones Misiones,726,9577
Departamento San Antonio,Bandera de Provincia de Jujuy Jujuy,690,4466
Departamento Capital,Bandera de Provincia de Catamarca Catamarca,684,159 703
Partido de San Nicolás,Bandera de Provincia de Buenos Aires Buenos Aires,680,145 857
Partido de San Vicente,Bandera de Provincia de Buenos Aires Buenos Aires,666,59 478
Partido de Exaltación de la Cruz,Bandera de Provincia de Buenos Aires Buenos Aires,662,29 805
Departamento Cerrillos,Bandera de Provincia de Salta Salta,640,35 789
Departamento Maipú,Bandera de Provincia de Mendoza Mendoza,617,172 861
Departamento San Cosme,Bandera de Provincia de Corrientes Corrientes,591,14 155
Departamento Río Chico,Bandera de Tucumán Tucumán,585,56 847
Departamento Capital,Bandera de Provincia de Córdoba (Argentina) Córdoba,576,1 329 604
Departamento Lules,Bandera de Tucumán Tucumán,540,68 474
Departamento Valle Viejo,Bandera de Provincia de Catamarca Catamarca,540,27 242
Departamento San Javier,Bandera de Provincia de Misiones Misiones,536,20 906
Partido de Capitán Sarmiento,Bandera de Provincia de Buenos Aires Buenos Aires,525,14 494
Departamento Pocito,Bandera de Provincia de San Juan San Juan,515,53 162
Departamento Capital,Bandera de Provincia de Corrientes Corrientes,500,356 314
Partido de Marcos Paz,Bandera de Provincia de Buenos Aires Buenos Aires,470,54 181
Departamento Palpalá,Bandera de Provincia de Jujuy Jujuy,467,52 631
Departamento San Martín,Bandera de Provincia de San Juan San Juan,435,11 115
Departamento Famaillá,Bandera de Tucumán Tucumán,427,34 542
Partido de Tigre,Bandera de Provincia de Buenos Aires Buenos Aires,368,376 381
Partido de General Rodríguez,Bandera de Provincia de Buenos Aires Buenos Aires,360,87 185
Partido del Pilar,Bandera de Provincia de Buenos Aires Buenos Aires,352,299 077
Partido de La Matanza,Bandera de Provincia de Buenos Aires Buenos Aires,325,1 775 816
Departamento Rawson,Bandera de Provincia de San Juan San Juan,300,114 368
Partido de Villa Gesell,Bandera de Provincia de Buenos Aires Buenos Aires,285,31 730
Departamento Fray Mamerto Esquiú,Bandera de Provincia de Catamarca Catamarca,280,11 896
Partido de Escobar,Bandera de Provincia de Buenos Aires Buenos Aires,277,393 619
Departamento Junín,Bandera de Provincia de Mendoza Mendoza,263,37 807
Partido de La Costa,Bandera de Provincia de Buenos Aires Buenos Aires,226,69 933
Partido de Ezeiza,Bandera de Provincia de Buenos Aires Buenos Aires,223,163 722
Partido de Berazategui,Bandera de Provincia de Buenos Aires Buenos Aires,217,324 244
Partido de Monte Hermoso,Bandera de Provincia de Buenos Aires Buenos Aires,209,6499
Partido de Florencio Varela,Bandera de Provincia de Buenos Aires Buenos Aires,190,426 005
Partido de Moreno,Bandera de Provincia de Buenos Aires Buenos Aires,186,452 505
Departamento Nueve de Julio,Bandera de Provincia de San Juan San Juan,185,9307
Departamento Rivadavia,Bandera de Provincia de San Juan San Juan,175,82 641
Partido de Merlo,Bandera de Provincia de Buenos Aires Buenos Aires,170,528 494
Departamento Guaymallén,Bandera de Provincia de Mendoza Mendoza,164,280 880
Departamento Yerba Buena,Bandera de Tucumán Tucumán,160,75 076
Partido de Berisso,Bandera de Provincia de Buenos Aires Buenos Aires,135,88 470
Partido de Almirante Brown,Bandera de Provincia de Buenos Aires Buenos Aires,129,552 902
Partido de Quilmes,Bandera de Provincia de Buenos Aires Buenos Aires,125,582 943
Partido de Presidente Perón,Bandera de Provincia de Buenos Aires Buenos Aires,121,81 141
Partido de Esteban Echeverría,Bandera de Provincia de Buenos Aires Buenos Aires,120,300 959
Partido de Ensenada,Bandera de Provincia de Buenos Aires Buenos Aires,101,56 729
Departamento Capital,Bandera de Tucumán Tucumán,91,548 866
Partido de Lomas de Zamora,Bandera de Provincia de Buenos Aires Buenos Aires,89,616 279
Partido de San Miguel,Bandera de Provincia de Buenos Aires Buenos Aires,82,276 190
Departamento Godoy Cruz,Bandera de Provincia de Mendoza Mendoza,75,189 578
Partido de Malvinas Argentinas,Bandera de Provincia de Buenos Aires Buenos Aires,63,322 375
Partido de Pinamar,Bandera de Provincia de Buenos Aires Buenos Aires,63,25 728
Departamento Chimbas,Bandera de Provincia de San Juan San Juan,62,87 258
Partido de General San Martín,Bandera de Provincia de Buenos Aires Buenos Aires,56,414 196
Partido de Morón,Bandera de Provincia de Buenos Aires Buenos Aires,55,321 109
Partido de Avellaneda,Bandera de Provincia de Buenos Aires Buenos Aires,54,342 677
Departamento Capital,Bandera de Provincia de Mendoza Mendoza,54,114 822
Partido de José C. Paz,Bandera de Provincia de Buenos Aires Buenos Aires,50,265 981
Partido de San Isidro,Bandera de Provincia de Buenos Aires Buenos Aires,48,292 878
Partido de Lanús,Bandera de Provincia de Buenos Aires Buenos Aires,48,459 263
Departamento Santa Lucía,Bandera de Provincia de San Juan San Juan,45,48 087
Partido de Tres de Febrero,Bandera de Provincia de Buenos Aires Buenos Aires,39,340 071
Partido de Ituzaingó,Bandera de Provincia de Buenos Aires Buenos Aires,38,167 824
Partido de Hurlingham,Bandera de Provincia de Buenos Aires Buenos Aires,35,181 241
Partido de Vicente López,Bandera de Provincia de Buenos Aires Buenos Aires,33,269 420
Departamento Capital,Bandera de Provincia de San Juan San Juan,30,109 123
